ticker,name,ISIN,申万行业分类,申万行业代码,中信行业分类,中信行业代码,上证50,沪深300,中证500,市值,申万一级名称,申万二级名称
000825.SZ,太钢不锈,CNE000000WM5,钢铁-钢铁Ⅱ-特钢,6104000000000000-6104010000000000-6104010200000000,钢铁--普钢--板材,b105000000000000-b105010000000000-b105010200000000,否,否,是,211.3307932,钢铁,钢铁Ⅱ
000826.SZ,启迪环境,CNE000000BX6,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,6116000000000000-6116020000000000-6116020100000000,电力及公用事业--环保及公用事业--环保及水务,b104000000000000-b104020000000000-1000034695000000,否,否,是,107.4364667,公用事业,环保工程及服务Ⅱ
000828.SZ,东莞控股,CNE000000R02,交通运输-高速公路Ⅱ-高速公路Ⅲ,6117000000000000-6117050000000000-6117050100000000,交通运输--公路铁路--公路,b10o000000000000-b10o010000000000-b10o010100000000,否,否,否,94.59604627,交通运输,高速公路Ⅱ
000829.SZ,天音控股,CNE000000TM1,商业贸易-专业零售-专业连锁,6120000000000000-1000012595000000-6120010200000000,商贸零售--专营连锁--家电3C,b10e000000000000-1000034765000000-1000034766000000,否,否,否,76.10816585,商业贸易,专业零售
000830.SZ,鲁西化工,CNE000000WN3,化工-化学制品-氮肥,6103000000000000-6103040000000000-6103040100000000,基础化工--农用化工--氮肥,b106000000000000-b106010000000000-b106010100000000,否,否,是,184.2794859,化工,化学制品
000831.SZ,五矿稀土,CNE000000WS2,有色金属-稀有金属-稀土,6105000000000000-1000012541000000-1000012542000000,有色金属--稀有金属--稀土及磁性材料,b103000000000000-b103030000000000-1000034690000000,否,否,否,146.0543693,有色金属,稀有金属
000833.SZ,粤桂股份,CNE000000XC4,采掘-其他采掘Ⅱ-其他采掘Ⅲ,6102000000000000-6102020000000000-6102020100000000,轻工制造--其他轻工Ⅱ--其他轻工Ⅲ,b109000000000000-1000034741000000-1000034742000000,否,否,否,31.48172718,采掘,其他采掘Ⅱ
000835.SZ,*ST长动,CNE000000WW4,传媒-互联网传媒-移动互联网服务,6122010000000000-1000012608000000-1000012609000000,传媒--文化娱乐--动漫,b10s000000000000-1000034857000000-1000034859000000,否,否,否,5.03210976,传媒,互联网传媒
000836.SZ,富通鑫茂,CNE000000T34,通信-通信设备-通信传输设备,1000012611000000-6110020000000000-6110020300000000,通信--通信设备制造--线缆,b10q000000000000-b10q020000000000-b10q020700000000,否,否,否,38.79141269,通信,通信设备
000837.SZ,*ST秦机,CNE000000WX2,机械设备-通用机械-机床工具,6107000000000000-6107020000000000-6107020100000000,机械--通用设备--机床设备,b10a000000000000-b10a030000000000-b10a030200000000,否,否,否,46.66386224,机械设备,通用机械
